iteration,mission_success,overall_effectiveness,ler,completion_time_hours,command_resilience
1,0.63148,0.70854,1.31678,11.608,0.64754
2,0.63258,0.71666,1.35852,10.532,0.6553
3,0.63836,0.729,1.44102,10.895999999999999,0.68432
4,0.64722,0.739,1.5297800000000001,10.83,0.6683
5,0.63844,0.72904,1.4588,10.676,0.66596
6,0.64742,0.74434,1.5733599999999999,10.298,0.68666
7,0.64372,0.7408,1.51438,10.440000000000001,0.69832
8,0.64622,0.74924,1.5421,9.532,0.7180799999999999
9,0.63576,0.7399,1.48202,10.178,0.73686
10,0.6455599999999999,0.74814,1.52762,9.803999999999998,0.7282
11,0.64624,0.75778,1.64954,10.548,0.7324200000000001
12,0.6470800000000001,0.7616799999999999,1.6241600000000003,9.25,0.75458
13,0.64742,0.76122,1.62702,10.078,0.76996
14,0.65532,0.76566,1.69188,10.266,0.76492
15,0.63704,0.73476,1.4598200000000001,10.556000000000001,0.71498
16,0.6452,0.75492,1.56216,10.026,0.76528
17,0.6395799999999999,0.74114,1.49096,10.690000000000001,0.73888
18,0.6468,0.7651,1.6271799999999998,9.214,0.7771
19,0.64894,0.77214,1.83416,11.878,0.75532
20,0.6435000000000001,0.76178,1.59246,9.402,0.79112
21,0.64476,0.75386,1.58756,10.668000000000001,0.7536799999999999
22,0.6418200000000001,0.7478,1.51112,9.895999999999999,0.7531
23,0.6429,0.76062,1.5741,9.166,0.79184
24,0.64344,0.76178,1.58626,9.35,0.79488
25,0.6412,0.75404,1.5798999999999999,10.373999999999999,0.76686
26,0.6456999999999999,0.75822,1.63962,10.544,0.7669
27,0.65354,0.76682,1.6631,10.47,0.7697
28,0.64308,0.75244,1.5638200000000002,10.496,0.76174
29,0.64826,0.76976,1.65936,9.844,0.8008599999999999
30,0.6585599999999999,0.7805,1.76364,10.224,0.81958
31,0.65236,0.77668,1.6918399999999998,9.878,0.8209199999999999
32,0.64854,0.7663800000000001,1.6453,10.266,0.79202
33,0.64668,0.7659800000000001,1.6108799999999999,10.01,0.8153600000000001
34,0.6556,0.7742,1.7207999999999999,9.602,0.78254
35,0.6636,0.78906,1.80884,10.032,0.81792
36,0.6417200000000001,0.76372,1.60772,9.584,0.8199799999999999
37,0.64492,0.74938,1.5523399999999998,10.928,0.74842
38,0.64354,0.77206,1.7876,11.66,0.7834
39,0.65282,0.7799400000000001,1.7020600000000001,9.558,0.8314999999999999
40,0.65212,0.78104,1.7106999999999999,9.534,0.8360200000000001
41,0.65038,0.77562,1.66568,9.536,0.83064
42,0.6494,0.7684599999999999,1.64058,9.532,0.79328
43,0.65198,0.78518,1.7346799999999998,9.081999999999999,0.84528
44,0.6485799999999999,0.7782199999999999,1.6961400000000002,9.744,0.8409000000000001
45,0.6414799999999999,0.76106,1.57516,9.338,0.80368
46,0.65364,0.77274,1.7022,10.184000000000001,0.80612
47,0.6570600000000001,0.7786,1.7235600000000002,10.368,0.8078200000000001
48,0.65346,0.78494,1.73216,9.718,0.85192
49,0.6566799999999999,0.7922399999999999,1.78124,9.081999999999999,0.8527000000000001
50,0.6561199999999999,0.7869200000000001,1.7968800000000003,9.475999999999999,0.84526
