iteration,mission_success,overall_effectiveness,ler,completion_time_hours,command_resilience
1,0.63414,0.7180666666666666,1.3721066666666666,11.012,0.6623866666666667
2,0.63741,0.7232999999999999,1.4115250000000001,10.9665,0.663865
3,0.6376160000000001,0.724448,1.4209800000000001,10.9084,0.664284
4,0.6408039999999999,0.7316079999999999,1.472296,10.6464,0.672108
5,0.643032,0.736436,1.503468,10.628,0.680712
6,0.644604,0.740484,1.523684,10.3552,0.6874640000000001
7,0.642312,0.740664,1.514132,10.2248,0.701176
8,0.643736,0.744484,1.527896,10.0504,0.713624
9,0.6435,0.7471720000000001,1.543132,10.1004,0.722776
10,0.644172,0.7513479999999999,1.565088,9.8624,0.734028
11,0.644412,0.753744,1.582072,9.971599999999999,0.7444040000000001
12,0.648324,0.758896,1.624044,9.9892,0.750016
13,0.6466200000000001,0.75622,1.610484,10.1396,0.747372
14,0.646412,0.755648,1.593008,10.0352,0.753944
15,0.6449119999999999,0.75154,1.566368,10.3232,0.7508039999999999
16,0.6447879999999999,0.752316,1.5664,10.150400000000001,0.752232
17,0.643512,0.7536120000000001,1.594856,10.472800000000001,0.750312
18,0.6448039999999999,0.759016,1.6213840000000002,10.242,0.76554
19,0.6447160000000001,0.758804,1.626464,10.3704,0.76322
20,0.6451640000000001,0.7601359999999999,1.6304960000000002,10.2116,0.766064
21,0.644384,0.7592399999999999,1.6198799999999998,10.202,0.769012
22,0.6432840000000001,0.757168,1.5703,9.6964,0.776924
23,0.6428240000000001,0.7556200000000001,1.567788,9.8908,0.772072
24,0.643012,0.7564919999999999,1.5782,9.866,0.774716
25,0.6453559999999999,0.760296,1.608596,9.980799999999999,0.778036
26,0.645392,0.75866,1.60654,10.2468,0.772016
27,0.6463559999999999,0.760256,1.6211600000000002,10.345600000000001,0.773212
28,0.649828,0.765548,1.6579080000000002,10.3156,0.783756
29,0.65116,0.76924,1.668352,10.1824,0.7945599999999999
30,0.65016,0.7691520000000001,1.6647919999999998,10.1416,0.799024
31,0.65088,0.77186,1.674204,10.0444,0.8097479999999999
32,0.652348,0.772748,1.6864919999999999,9.996,0.8060839999999999
33,0.6533559999999999,0.77446,1.695532,9.9576,0.805752
34,0.651228,0.771868,1.6787079999999999,9.8988,0.8055640000000001
35,0.650504,0.768468,1.660116,10.0312,0.796844
36,0.649876,0.769684,1.69546,10.3612,0.7904519999999999
37,0.64932,0.7708320000000001,1.691712,10.3524,0.800244
38,0.647024,0.769228,1.672084,10.2528,0.8038639999999999
39,0.648756,0.771608,1.6836759999999997,10.2432,0.805996
40,0.649652,0.7754239999999999,1.701324,9.964,0.814968
41,0.65134,0.778048,1.69074,9.4484,0.8273440000000001
42,0.6504920000000001,0.777704,1.689556,9.4856,0.829224
43,0.6483639999999999,0.773708,1.662448,9.4464,0.822756
44,0.6490159999999999,0.7731319999999999,1.6697520000000001,9.575999999999999,0.817852
45,0.650548,0.77516,1.686348,9.7432,0.8207599999999999
46,0.650844,0.7751119999999999,1.6858440000000001,9.8704,0.8220880000000002
47,0.6524639999999999,0.7779159999999999,1.702864,9.738,0.824448
48,0.655392,0.783088,1.747208,9.765600000000001,0.8327640000000001
49,0.65583,0.785675,1.7584600000000001,9.661,0.8394250000000001
50,0.65542,0.7880333333333334,1.7700933333333335,9.425333333333333,0.8499599999999999
